Id,Label
1,cachorro
2,automovel
3,cachorro
4,cavalo
5,cachorro
6,gato
7,sapo
8,cachorro
9,gato
10,gato
11,passaro
12,automovel
13,aviao
14,sapo
15,aviao
16,aviao
17,navio
18,cavalo
19,veado
20,sapo
21,automovel
22,cavalo
23,veado
24,navio
25,automovel
26,veado
27,passaro
28,aviao
29,gato
30,sapo
31,passaro
32,passaro
33,cavalo
34,caminhao
35,cachorro
36,cavalo
37,aviao
38,veado
39,aviao
40,automovel
41,gato
42,sapo
43,sapo
44,passaro
45,navio
46,veado
47,sapo
48,automovel
49,cavalo
50,navio
51,sapo
52,automovel
53,veado
54,cavalo
55,caminhao
56,cachorro
57,caminhao
58,automovel
59,automovel
60,navio
61,cachorro
62,passaro
63,cavalo
64,passaro
65,aviao
66,cachorro
67,navio
68,gato
69,veado
70,sapo
71,caminhao
72,passaro
73,gato
74,aviao
75,cavalo
76,aviao
77,veado
78,caminhao
79,veado
80,cavalo
81,navio
82,cavalo
83,cachorro
84,aviao
85,automovel
86,cachorro
87,aviao
88,veado
89,navio
90,caminhao
91,veado
92,aviao
93,caminhao
94,sapo
95,automovel
96,aviao
97,caminhao
98,aviao
99,cavalo
100,automovel
101,aviao
102,automovel
103,caminhao
104,veado
105,gato
106,veado
107,automovel
108,navio
109,cachorro
110,cachorro
111,cachorro
112,automovel
113,cavalo
114,veado
115,aviao
116,veado
117,cachorro
118,automovel
119,cavalo
120,passaro
121,navio
122,cachorro
123,navio
124,cavalo
125,cachorro
126,cachorro
127,sapo
128,navio
129,automovel
130,navio
131,gato
132,cavalo
133,navio
134,aviao
135,gato
136,passaro
137,aviao
138,gato
139,aviao
140,cachorro
141,sapo
142,aviao
143,gato
144,cachorro
145,veado
146,aviao
147,caminhao
148,veado
149,navio
150,aviao
151,passaro
152,caminhao
153,caminhao
154,passaro
155,caminhao
156,veado
157,veado
158,passaro
159,cavalo
160,cavalo
161,aviao
162,aviao
163,automovel
164,sapo
165,caminhao
166,cachorro
167,gato
168,passaro
169,cavalo
170,automovel
171,cavalo
172,automovel
173,veado
174,navio
175,aviao
176,veado
177,aviao
178,passaro
179,automovel
180,gato
181,sapo
182,automovel
183,cavalo
184,caminhao
185,navio
186,navio
187,aviao
188,passaro
189,automovel
190,passaro
191,sapo
192,gato
193,navio
194,gato
195,cavalo
196,navio
197,automovel
198,sapo
199,navio
200,passaro
201,gato
202,automovel
203,sapo
204,caminhao
205,aviao
206,navio
207,veado
208,automovel
209,aviao
210,automovel
211,caminhao
212,aviao
213,cachorro
214,navio
215,veado
216,veado
217,automovel
218,gato
219,sapo
220,aviao
221,veado
222,cachorro
223,sapo
224,passaro
225,passaro
226,automovel
227,veado
228,aviao
229,aviao
230,veado
231,gato
232,automovel
233,passaro
234,caminhao
235,navio
236,sapo
237,caminhao
238,sapo
239,cavalo
240,cachorro
241,caminhao
242,gato
243,sapo
244,cachorro
245,sapo
246,gato
247,sapo
248,cavalo
249,cachorro
250,automovel
251,cachorro
252,sapo
253,aviao
254,navio
255,automovel
256,passaro
257,aviao
258,caminhao
259,navio
260,caminhao
261,automovel
262,automovel
